รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
มุ้งเฟรมใหญ่,อุปกรณ์/สิ้นเปลือง,เสากุญแจบาน 20051 (เส้น 6ม.),JR00256,มี,885,เส้น,3,2655,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
มุ้งเฟรมใหญ่,อุปกรณ์/สิ้นเปลือง,ขวาง 20051 (เส้น 6ม.),,ยังไม่มี,885,เส้น,2,1770,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
มุ้งเฟรมใหญ่,อุปกรณ์/สิ้นเปลือง,ยางอัด (ม.),,ยังไม่มี,5,ม.,30,150,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
มุ้งเฟรมใหญ่,อุปกรณ์/สิ้นเปลือง,ผ้ามุ้ง ไฟเบอร์,,ยังไม่มี,23,ตร.ม.,18,414,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
