ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,บานเปลือย (ติดตาย/สวิง/เลื่อน),กระจก,กระจก เทมเปอร์ 10มม.,,,848,ตร.ม.,2.2,1865.6,100×220 1 บาน · มาตรฐาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเปลือย (ติดตาย/สวิง/เลื่อน),อุปกรณ์/สิ้นเปลือง,โช้ค+จุดหมุน (สวิง),JR00223,,2330,ชุด,1,2330,100×220 1 บาน · มาตรฐาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเปลือย (ติดตาย/สวิง/เลื่อน),อุปกรณ์/สิ้นเปลือง,มือจับ,JR00251,,1500,ตัว,1,1500,100×220 1 บาน · มาตรฐาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเปลือย (ติดตาย/สวิง/เลื่อน),อุปกรณ์/สิ้นเปลือง,ล็อค,JR00231,,1200,ชุด,1,1200,100×220 1 บาน · มาตรฐาน,,,,ยังไม่ผูกไฟล์,
🟣 ยังไม่ได้ตรวจ,บานเปลือย (ติดตาย/สวิง/เลื่อน),อุปกรณ์/สิ้นเปลือง,ชุดล้อ+ราง (เลื่อน),JR00201,,3600,ชุด,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,
