ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,"แผ่นคอมโพสิต 4มม. (ต้นทุน ≈ ขาย R3.9 4,000 ÷2)",,ยังไม่มี,2000,ตร.ม.,8.1,16200,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,"โครงเหล็กกรอบ 1½×3"" (รอบ)",,ยังไม่มี,440,เส้น,2,880,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,"ซีไลน์ 3"" เสาตั้ง (ดิ่ง) @0.60",,ยังไม่มี,62,เส้น,4,248,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,"ซีไลน์ 3"" ถักนอน (ราบ) @0.40",,ยังไม่มี,62,เส้น,6,372,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,สกรู/รีเวท ยึดแผ่น+โครง,,ยังไม่มี,0.5,ตัว,162,81,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,ค่าแรงผลิต,,ยังไม่มี,700,ตร.ม.,8.1,5670,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังคอมโพสิต (รวมโครง),อุปกรณ์/สิ้นเปลือง,ค่าแรงติดตั้ง,,ยังไม่มี,400,ตร.ม.,8.1,3240,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
