ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
— ไม่มีใบตัด,มุ้งเฟรมเล็ก,อุปกรณ์/สิ้นเปลือง,เสา (เส้น 6ม.),,,625,เส้น,3,1875,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,มุ้งเฟรมเล็ก,อุปกรณ์/สิ้นเปลือง,ขวาง (เส้น 6ม.),,,625,เส้น,2,1250,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,มุ้งเฟรมเล็ก,อุปกรณ์/สิ้นเปลือง,ยางอัด (ม.),,,5,ม.,30,150,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,มุ้งเฟรมเล็ก,อุปกรณ์/สิ้นเปลือง,ผ้ามุ้ง ไฟเบอร์,,,23,ตร.ม.,18,414,600×300 3 บาน,,,,ยังไม่ผูกไฟล์,
