รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
บานติดตายดัดโค้ง,กระจก,กระจก เขียว 6มม.,,ยังไม่มี,264,ตร.ม.,0.5,132,100×50 1 บาน,,,,ยังไม่ผูกไฟล์,
บานติดตายดัดโค้ง,อุปกรณ์/สิ้นเปลือง,ค่าดัดโค้ง (อลูทั้งชุด รวมกล่อง),,ยังไม่มี,1,ชุด,2086,2086,100×50 1 บาน,,,,ยังไม่ผูกไฟล์,
บานติดตายดัดโค้ง,อุปกรณ์/สิ้นเปลือง,ซิลิโคน (ใน+นอก),JR00221,มี,90,หลอด,1,90,100×50 1 บาน,,,,ยังไม่ผูกไฟล์,
บานติดตายดัดโค้ง,อุปกรณ์/สิ้นเปลือง,กล่องเปิด+ตบปิดเปิด,,ยังไม่มี,1849,เส้น,1,1849,100×50 1 บาน,,,,ยังไม่ผูกไฟล์,
บานติดตายดัดโค้ง,อุปกรณ์/สิ้นเปลือง,ปัดขึ้นหลักร้อย,,ยังไม่มี,1,,43,43,100×50 1 บาน,,,,ยังไม่ผูกไฟล์,
