ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,แผ่นไอโซวอล 100มม. (>2.4ม.),,,2520,แผ่น,3,7560,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,"กล่อง 1.6×4"" โครงรอบ (เส้น 6ม.)",,,1220,เส้น,2,2440,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,ฉาก 4หุน นอก+ใน (เส้น 6ม.),,,70,เส้น,4,280,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,สกรู/รีเวท + ยึด (เหมา),,,50,งาน,1,50,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,ซิลิโคน/ซีล,JR00221,,90,หลอด,4,360,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,ค่าแรงผลิต,,,700,ตร.ม.,8.1,5670,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ผนังไอโซวอล 100มม.,อุปกรณ์/สิ้นเปลือง,ค่าแรงติดตั้ง,,,440,ตร.ม.,8.1,3564,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
