รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
ฝ้าระแนงอลู 1×5 ซม. (โชว์ 1 เว้น 5),อุปกรณ์/สิ้นเปลือง,ใบระแนง (กล่อง 1X5),,ยังไม่มี,500,เส้น,34,17000,300×400 1 บาน,,,ยังไม่ผูกไฟล์,
ฝ้าระแนงอลู 1×5 ซม. (โชว์ 1 เว้น 5),อุปกรณ์/สิ้นเปลือง,ส่วนลดปริมาณ 5% (พื้นที่ 12 ตร.ม.),,ยังไม่มี,-1900,,1,-1900,300×400 1 บาน,,,ยังไม่ผูกไฟล์,
